Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,MonthlyCharges
40,1,51,20,7,29,3,12,650,5,1,54.17
35,1,16,1,5,23,1,1,975,7,0,975
30,1,60,24,10,0,2,3,538,20,0,179.33
49,0,38,7,8,14,2,12,944,6,0,78.67
65,0,50,27,10,14,3,12,372,10,0,31
38,0,40,29,4,5,1,12,595,4,0,49.58
46,1,13,8,4,5,1,3,702,2,0,234
60,0,16,25,10,29,1,1,875,9,1,875
38,1,29,20,10,22,1,12,418,18,1,34.83
30,1,24,22,3,29,1,1,495,5,0,495
64,1,29,19,5,7,3,1,605,7,0,605
20,0,6,27,10,29,3,3,518,6,0,172.67
49,1,6,24,8,15,3,3,846,23,0,282
20,1,2,20,5,16,2,1,658,12,0,658
20,0,41,25,5,6,2,12,138,9,0,11.5
39,0,42,10,5,13,3,3,687,4,0,229
62,1,19,12,5,6,1,3,401,11,0,133.67
54,1,32,13,0,0,2,3,206,21,0,68.67
39,1,23,14,10,0,2,3,575,18,0,191.67
42,1,3,15,9,26,3,12,817,22,0,68.08
30,0,28,14,7,19,3,12,421,20,1,35.08
54,1,59,5,9,22,2,3,382,25,1,127.33
31,0,26,7,1,7,1,1,368,11,0,368
54,0,50,13,9,7,1,3,959,18,0,319.67
41,1,33,28,2,23,1,1,486,3,0,486
59,1,25,14,9,25,3,12,476,17,1,39.67
25,0,7,30,2,4,1,3,716,17,0,238.67
65,0,8,18,7,18,2,12,587,18,0,48.92
49,0,10,25,9,2,2,3,948,7,0,316
61,0,26,7,6,25,1,3,878,10,1,292.67
60,0,39,28,5,2,2,3,565,15,0,188.33
19,1,15,23,3,4,2,3,890,3,0,296.67
50,0,13,16,4,7,1,12,663,18,0,55.25
38,1,31,21,2,10,2,12,874,28,0,72.83
62,1,59,30,6,22,3,1,136,16,1,136
40,0,7,26,5,11,3,12,174,23,0,14.5
42,1,2,16,1,5,1,3,822,8,0,274
54,1,3,18,10,11,2,1,731,7,0,731
35,0,37,23,1,0,3,12,335,4,0,27.92
62,1,25,13,9,13,1,12,491,18,0,40.92
50,1,10,26,0,4,2,12,335,29,0,27.92
35,0,37,27,4,16,1,3,545,15,0,181.67
34,1,33,18,2,0,2,12,848,15,0,70.67
44,0,31,21,6,20,1,1,593,19,1,593
20,1,47,14,2,12,1,12,300,9,0,25
36,1,3,21,5,9,3,3,882,30,0,294
53,1,41,22,1,23,3,12,696,8,0,58
26,1,38,10,2,29,3,3,143,16,0,47.67
46,1,52,11,8,1,3,1,222,18,0,222
57,0,26,19,8,5,3,1,702,6,0,702
50,1,13,21,4,12,2,3,179,23,0,59.67
48,0,52,5,7,28,3,1,696,1,1,696
42,1,10,10,5,26,1,1,951,17,0,951
35,1,24,15,7,25,2,3,141,29,1,47
50,1,4,12,1,30,2,1,867,24,0,867
37,1,50,16,5,23,3,12,358,14,1,29.83
19,0,6,12,8,24,2,1,845,23,1,845
31,1,44,13,10,22,1,1,554,14,1,554
29,1,35,26,6,11,3,1,639,18,0,639
58,1,35,27,2,28,2,12,373,10,0,31.08
37,1,7,15,10,8,3,3,572,28,0,190.67
59,1,41,15,9,4,3,3,812,8,0,270.67
29,0,46,12,4,18,1,12,508,20,0,42.33
61,0,40,6,6,2,3,12,308,22,0,25.67
53,1,40,29,6,1,3,12,893,2,0,74.42
60,0,40,19,8,3,1,3,841,19,0,280.33
33,0,60,21,9,11,2,3,246,24,0,82
19,0,12,8,4,2,3,12,739,11,0,61.58
37,0,48,27,8,26,3,1,544,29,1,544
43,0,43,25,3,25,2,1,387,2,1,387
32,0,23,10,0,6,2,12,568,21,0,47.33
29,1,33,29,9,8,3,3,508,12,0,169.33
44,1,13,9,4,15,3,3,876,22,0,292
55,0,24,3,1,5,2,12,729,4,0,60.75
31,0,34,1,2,0,2,3,842,22,0,280.67
55,1,26,2,4,15,1,3,993,27,1,331
40,0,22,1,9,12,1,3,971,9,0,323.67
38,1,24,3,5,15,2,1,190,6,0,190
38,0,44,4,9,29,1,3,573,16,1,191
62,1,27,20,9,19,3,1,252,5,1,252
40,0,1,30,3,9,3,12,231,2,0,19.25
49,0,7,18,0,25,2,1,534,20,1,534
58,1,60,27,7,19,3,1,940,8,1,940
42,0,4,24,10,0,2,12,956,22,0,79.67
41,1,52,4,6,4,2,12,793,15,0,66.08
35,1,24,10,10,6,2,1,141,3,0,141
65,1,39,20,7,14,1,12,906,10,0,75.5
53,0,19,25,10,9,2,12,394,16,0,32.83
57,1,59,12,6,6,3,12,698,19,0,58.17
62,0,46,20,10,13,1,3,832,19,0,277.33
23,0,11,18,2,25,2,1,449,12,1,449
43,1,51,28,8,13,1,3,218,15,0,72.67
19,0,9,11,1,22,3,3,768,29,0,256
38,1,14,11,9,21,3,12,265,2,0,22.08
47,0,52,3,1,21,2,12,588,1,0,49
53,1,40,1,2,29,2,3,275,2,0,91.67
52,0,9,30,2,2,1,12,622,24,0,51.83
22,1,51,3,0,23,3,12,903,1,0,75.25
64,1,55,5,2,10,1,12,230,17,0,19.17
23,1,55,18,10,22,3,1,287,18,1,287
48,0,12,7,5,24,3,3,238,5,1,79.33
57,0,58,30,2,11,2,1,783,7,0,783
29,1,47,25,9,1,2,12,559,7,0,46.58
27,1,14,13,0,30,2,12,793,27,0,66.08
39,1,24,28,2,5,3,1,213,24,0,213
62,0,50,14,9,29,3,12,668,3,1,55.67
41,0,16,14,4,4,2,1,814,28,0,814
32,0,35,29,2,19,3,1,328,6,0,328
30,1,6,22,8,27,3,12,195,4,0,16.25
19,1,1,9,6,29,3,3,118,17,0,39.33
36,1,7,12,9,27,2,1,303,24,0,303
49,0,33,19,3,10,3,3,979,3,0,326.33
27,0,5,19,9,15,1,12,544,11,0,45.33
43,0,40,21,10,5,2,3,386,27,0,128.67
44,0,42,19,0,16,3,3,924,12,0,308
43,1,12,4,7,16,2,12,308,25,0,25.67
27,0,33,26,3,11,3,12,271,17,0,22.58
33,0,1,14,0,30,2,1,194,15,1,194
40,1,53,1,0,15,1,12,432,2,0,36
64,1,54,8,2,15,2,3,933,2,0,311
52,0,36,2,9,1,3,12,108,28,1,9
65,0,40,17,5,15,3,1,130,25,0,130
29,1,37,11,3,18,1,1,993,28,0,993
25,0,21,18,0,14,2,1,257,30,0,257
53,1,5,24,2,11,2,12,792,1,0,66
33,0,24,1,7,4,2,3,306,12,0,102
31,1,35,23,1,2,2,3,329,11,0,109.67
61,0,50,6,2,3,3,3,787,16,0,262.33
65,1,52,11,6,10,3,1,887,1,0,887
65,0,54,13,8,28,1,1,760,30,1,760
22,0,17,8,1,4,2,12,658,16,0,54.83
33,1,34,28,9,19,2,12,930,19,1,77.5
23,0,18,18,6,11,3,3,317,10,0,105.67
47,0,17,29,5,21,1,3,207,5,1,69
36,0,9,6,5,26,2,3,893,11,0,297.67
54,1,49,14,10,23,2,3,935,17,1,311.67
47,0,46,25,0,12,3,3,283,23,0,94.33
46,1,56,13,1,22,2,1,686,30,0,686
48,0,3,17,8,6,3,12,805,19,0,67.08
32,0,55,5,2,0,3,1,115,2,0,115
46,0,18,12,2,5,2,3,929,20,0,309.67
57,0,19,11,9,7,3,3,339,12,0,113
20,1,23,17,1,12,1,1,436,3,0,436
60,1,26,8,5,2,3,3,854,28,0,284.67
48,0,5,28,0,29,1,1,215,14,1,215
18,0,20,26,6,7,3,1,117,15,0,117
49,0,16,2,2,15,3,3,667,6,0,222.33
41,1,48,9,7,28,2,1,926,12,1,926
51,0,56,18,10,25,1,12,663,20,1,55.25
56,0,4,26,8,13,1,12,178,16,0,14.83
59,0,26,3,6,27,2,12,121,27,1,10.08
43,1,14,28,1,19,3,12,823,18,0,68.58
48,1,58,12,3,29,2,12,141,4,0,11.75
56,1,18,16,6,24,3,12,817,1,0,68.08
61,1,25,9,10,29,2,1,615,12,1,615
37,1,59,5,5,18,1,12,876,30,1,73
52,0,59,27,7,25,2,3,801,5,1,267
64,1,2,23,9,18,3,3,965,19,0,321.67
43,1,7,26,5,30,2,12,942,12,0,78.5
44,0,46,26,9,30,3,12,721,3,1,60.08
54,1,20,18,10,26,2,1,260,18,0,260
31,1,20,17,6,1,2,1,596,7,0,596
38,0,6,27,2,16,2,3,285,11,0,95
31,1,14,27,6,2,2,1,120,27,0,120
65,0,17,6,10,30,2,1,451,10,1,451
62,1,29,25,0,7,3,12,565,20,0,47.08
20,1,55,17,9,8,2,3,341,13,0,113.67
55,1,52,7,3,13,1,1,943,11,0,943
31,0,3,22,8,28,1,1,845,27,1,845
52,1,7,11,7,11,1,3,512,3,0,170.67
40,0,15,14,4,10,1,12,804,29,0,67
60,0,15,25,7,24,3,1,782,1,1,782
45,1,3,13,5,28,1,1,689,21,0,689
65,0,47,25,8,14,1,3,935,13,0,311.67
18,1,56,25,2,25,1,3,142,25,0,47.33
60,0,34,30,0,13,1,12,720,28,0,60
39,1,7,1,0,27,1,1,734,14,0,734
30,0,58,23,3,20,1,3,103,15,0,34.33
62,1,1,6,2,18,3,12,324,29,0,27
52,1,17,7,2,7,3,12,501,23,0,41.75
59,0,59,9,0,12,2,12,255,17,0,21.25
21,1,51,26,10,22,3,3,868,17,1,289.33
46,0,37,10,1,6,3,1,876,23,0,876
59,0,13,11,4,1,2,1,489,25,0,489
27,0,38,25,3,17,2,12,731,28,0,60.92
64,0,32,10,7,21,2,3,338,15,1,112.67
60,0,4,16,7,19,3,1,390,15,0,390
50,1,17,25,2,6,2,3,849,22,0,283
44,0,51,25,6,17,2,3,849,13,1,283
50,0,32,17,3,25,3,1,727,21,1,727
53,1,44,17,0,1,3,1,698,28,0,698
60,1,51,12,3,21,3,3,678,3,0,226
52,0,21,24,6,15,3,12,869,12,0,72.42
58,1,58,20,0,20,2,12,518,12,0,43.17
44,0,30,13,10,11,3,3,568,1,0,189.33
58,0,31,15,0,5,3,3,981,18,0,327
49,1,22,1,10,19,3,3,764,30,0,254.67
24,1,22,13,0,16,3,3,850,21,0,283.33
37,0,43,14,1,14,3,1,998,22,0,998
59,1,2,24,10,11,3,12,130,5,0,10.83
29,0,25,7,2,3,3,1,850,1,0,850
25,1,59,23,10,12,1,3,509,3,0,169.67
44,1,16,2,4,30,1,12,115,27,1,9.58
58,1,54,22,10,14,2,12,660,17,0,55
27,0,27,8,1,5,3,12,918,22,0,76.5
51,1,39,12,2,14,3,3,378,12,0,126
35,1,3,16,4,28,2,1,440,29,0,440
30,0,30,19,6,16,3,12,937,24,1,78.08
36,0,18,25,4,5,1,3,935,12,0,311.67
27,1,2,18,8,2,1,1,738,4,0,738
38,1,33,29,6,0,2,1,741,17,0,741
27,0,56,16,2,8,2,1,822,20,0,822
62,0,39,8,7,18,2,1,693,18,1,693
49,1,35,26,8,23,2,12,248,28,1,20.67
38,1,34,17,8,29,1,12,124,14,1,10.33
61,0,20,5,7,3,2,12,932,13,1,77.67
61,0,48,2,8,15,1,1,846,19,1,846
41,0,28,9,3,7,3,3,574,20,0,191.33
18,1,34,18,0,11,1,3,964,10,0,321.33
62,0,50,6,0,1,3,1,640,19,0,640
19,0,26,29,6,0,1,1,149,9,0,149
21,1,39,20,2,15,2,3,449,23,0,149.67
59,1,13,22,3,5,1,3,357,9,0,119
29,1,12,14,0,8,1,12,389,30,0,32.42
30,0,54,22,4,25,3,3,551,24,0,183.67
47,1,57,10,7,10,3,12,103,11,0,8.58
21,0,40,1,10,19,2,12,978,10,1,81.5
26,1,54,21,8,8,2,3,625,6,0,208.33
47,1,3,1,8,30,3,12,755,25,1,62.92
42,1,27,30,3,10,2,12,451,30,0,37.58
35,1,16,2,6,4,3,1,186,2,0,186
61,1,28,1,0,17,3,12,679,16,0,56.58
53,1,38,24,0,8,3,3,821,18,0,273.67
43,0,22,8,1,23,1,1,190,23,1,190
36,0,2,22,10,24,1,1,671,26,1,671
30,0,47,16,8,11,1,3,604,2,0,201.33
46,0,50,21,3,23,2,3,774,10,0,258
42,0,7,2,3,28,2,12,716,27,1,59.67
49,1,8,26,6,19,3,12,805,28,0,67.08
44,1,47,19,7,2,2,12,630,25,0,52.5
52,1,48,8,0,5,2,3,681,3,0,227
35,0,29,18,5,21,3,12,467,22,1,38.92
40,0,26,18,9,15,2,12,250,6,0,20.83
33,1,24,21,10,24,3,1,120,5,1,120
26,1,53,30,7,20,2,1,746,11,1,746
41,0,15,10,9,25,2,12,470,10,1,39.17
23,1,27,1,4,4,1,12,162,18,1,13.5
38,0,34,25,2,25,2,1,652,9,1,652
54,0,7,7,3,7,1,3,728,13,0,242.67
57,1,27,17,7,30,3,3,108,19,1,36
21,0,32,3,4,11,1,1,449,17,0,449
61,1,42,2,7,4,3,12,520,6,1,43.33
22,0,9,24,1,21,3,3,590,13,0,196.67
48,1,20,4,4,9,3,12,884,30,0,73.67
53,1,59,10,9,22,3,3,207,25,1,69
41,1,39,9,4,26,2,3,233,22,0,77.67
42,1,9,28,10,5,1,12,544,15,0,45.33
54,1,9,16,4,16,1,12,929,9,0,77.42
45,1,12,19,2,19,1,3,739,23,0,246.33
18,1,12,2,7,22,2,1,862,2,0,862
22,1,40,3,10,9,2,1,378,14,0,378
42,0,12,14,1,19,1,1,597,10,0,597
35,1,58,22,8,19,2,1,316,13,1,316
36,1,7,5,5,28,3,12,919,4,0,76.58
38,1,17,30,2,29,3,1,238,24,0,238
23,0,2,4,1,27,1,3,419,12,1,139.67
57,0,55,24,5,29,3,1,189,15,1,189
56,1,6,27,0,30,1,3,580,6,0,193.33
39,0,15,4,0,3,3,12,230,9,0,19.17
56,0,12,26,8,5,2,12,753,11,0,62.75
22,1,57,23,6,23,3,3,252,1,1,84
47,0,18,3,0,2,1,12,784,20,0,65.33
51,0,49,11,7,13,1,12,884,28,0,73.67
45,1,59,27,9,29,1,12,513,8,1,42.75
44,0,25,13,5,26,2,12,207,30,1,17.25
64,1,36,10,4,22,1,1,442,17,0,442
32,0,6,11,0,13,1,1,958,2,0,958
18,1,49,7,7,25,1,12,172,12,1,14.33
62,0,35,21,0,24,2,12,971,19,0,80.92
42,1,32,3,1,4,2,3,996,3,0,332
33,1,18,27,10,30,1,1,971,18,0,971
43,1,20,20,4,9,3,1,241,4,0,241
47,0,8,1,4,5,3,1,210,23,0,210
56,1,15,25,0,4,2,1,832,18,0,832
19,1,31,29,8,8,1,1,187,24,0,187
55,1,12,7,9,14,1,1,101,16,0,101
50,0,50,24,2,13,1,3,420,13,0,140
35,0,32,6,8,11,2,12,581,27,0,48.42
40,1,56,6,5,27,2,3,517,16,1,172.33
31,0,13,21,4,3,2,3,952,24,0,317.33
60,0,29,14,3,25,1,12,796,16,0,66.33
47,1,9,14,9,28,3,12,794,6,0,66.17
36,1,11,20,8,2,2,3,533,25,0,177.67
22,0,29,24,9,19,1,12,826,18,1,68.83
39,1,55,13,7,11,2,1,419,17,0,419
60,0,26,15,5,14,2,3,554,3,0,184.67
61,1,40,10,2,17,1,1,225,24,0,225
21,0,19,20,8,24,1,1,494,9,1,494
65,0,10,26,2,20,3,1,758,5,0,758
41,1,56,20,7,16,1,3,420,21,1,140
58,0,5,20,9,24,1,1,879,20,1,879
36,0,14,24,3,7,3,12,995,28,0,82.92
59,1,41,19,4,14,2,12,277,30,0,23.08
46,0,27,1,3,8,2,12,913,27,0,76.08
27,0,3,28,4,21,2,3,1000,11,0,333.33
18,1,29,10,4,4,3,3,506,17,0,168.67
34,1,27,2,7,17,1,1,660,10,1,660
60,0,49,27,0,28,1,3,288,28,1,96
37,1,48,2,7,25,2,1,703,24,1,703
51,0,59,16,9,11,2,12,621,1,0,51.75
65,1,57,11,5,5,1,1,971,9,0,971
50,1,28,24,6,22,2,1,487,14,1,487
35,0,39,16,10,25,2,3,105,27,1,35
31,0,50,12,6,4,1,1,591,30,0,591
56,1,26,13,4,8,1,3,334,26,0,111.33
65,0,24,12,5,5,3,3,136,19,0,45.33
42,0,26,21,0,1,3,1,470,19,0,470
39,0,2,6,9,0,3,1,481,13,0,481
44,0,51,18,2,4,3,3,804,27,0,268
52,0,52,17,10,19,1,12,653,5,1,54.42
28,0,38,21,3,18,1,12,909,17,0,75.75
22,1,55,20,10,27,1,3,143,15,1,47.67
37,0,18,23,0,11,3,12,855,1,0,71.25
42,0,2,20,9,22,2,1,990,5,1,990
37,0,16,2,9,21,2,1,411,26,1,411
49,1,48,27,0,10,3,1,768,21,0,768
43,0,28,7,10,18,2,12,126,17,1,10.5
51,0,58,7,4,22,3,3,528,29,0,176
61,0,41,23,0,15,2,12,811,9,0,67.58
53,1,30,21,4,13,2,1,183,7,0,183
62,0,38,27,9,7,3,12,920,30,0,76.67
63,0,54,11,10,10,3,3,625,26,0,208.33
33,0,49,24,7,1,2,1,704,13,0,704
33,1,53,27,3,27,2,12,805,26,0,67.08
23,0,44,24,9,28,3,1,174,14,1,174
22,1,27,8,9,15,1,1,166,21,0,166
52,0,57,11,0,25,2,1,865,21,1,865
40,0,49,3,4,0,1,3,825,17,0,275
25,0,58,21,7,15,1,3,387,29,0,129
63,0,55,15,6,20,1,12,130,9,1,10.83
47,1,60,16,5,14,3,3,894,6,0,298
62,0,28,30,2,12,2,3,761,30,0,253.67
21,1,46,7,5,17,2,3,470,29,1,156.67
35,0,38,20,9,1,1,12,708,23,0,59
61,1,53,1,3,2,3,3,467,9,0,155.67
45,1,25,16,5,20,2,12,787,13,1,65.58
20,0,31,22,6,8,3,12,874,28,0,72.83
25,1,37,30,4,15,2,3,159,20,0,53
25,0,40,27,3,11,3,3,629,26,0,209.67
34,1,46,7,6,5,1,3,447,24,0,149
21,0,2,7,8,26,2,12,860,13,0,71.67
55,1,49,1,7,25,2,3,413,24,1,137.67
25,1,50,3,1,4,3,12,987,12,0,82.25
53,1,7,17,8,20,3,12,998,13,0,83.17
34,0,17,27,4,3,3,3,199,13,0,66.33
63,1,44,21,10,23,2,12,230,12,1,19.17
19,1,37,27,1,13,1,12,631,3,0,52.58
43,1,31,13,1,6,3,1,845,21,0,845
26,0,24,30,8,2,3,12,389,19,0,32.42
43,1,21,22,5,8,3,12,596,10,0,49.67
61,1,50,3,4,6,3,3,476,27,1,158.67
63,1,25,29,6,16,3,12,950,28,1,79.17
19,0,40,16,3,29,3,1,970,23,1,970
64,1,21,11,1,15,3,3,659,20,0,219.67
29,1,23,27,0,23,2,12,345,7,0,28.75
58,0,10,11,2,19,3,12,996,22,0,83
18,0,59,12,8,16,2,3,290,16,1,96.67
42,0,14,14,1,19,2,3,982,1,0,327.33
51,1,10,16,1,12,2,3,816,21,0,272
47,1,26,17,9,28,1,3,612,17,1,204
59,0,24,27,2,2,3,3,308,3,0,102.67
65,0,10,18,4,24,1,12,753,2,0,62.75
58,1,7,5,5,9,1,1,287,16,1,287
28,0,6,10,0,18,1,3,454,9,0,151.33
36,0,1,17,10,10,2,3,535,3,0,178.33
25,1,34,23,2,22,3,3,284,15,0,94.67
49,1,54,25,5,26,2,12,819,14,1,68.25
18,1,23,27,10,0,2,1,310,14,0,310
61,0,11,1,4,4,1,3,746,17,1,248.67
55,0,17,19,9,26,3,3,558,9,0,186
20,1,11,5,0,4,1,3,743,11,0,247.67
61,1,12,10,7,28,1,3,487,22,0,162.33
57,1,37,5,2,13,2,12,912,10,0,76
36,0,19,29,4,12,3,1,475,21,0,475
63,1,47,13,0,3,3,1,847,4,0,847
18,1,44,7,7,24,2,12,966,3,1,80.5
43,0,31,14,3,24,3,3,949,14,0,316.33
40,1,56,16,9,23,3,3,658,5,1,219.33
47,1,29,21,1,16,1,3,664,10,0,221.33
55,1,28,22,3,30,2,12,814,18,0,67.83
44,0,46,18,3,12,3,1,682,30,0,682
50,1,34,10,1,16,1,1,586,28,0,586
20,0,11,11,3,25,2,12,351,22,1,29.25
49,0,42,23,7,19,2,1,261,10,1,261
49,0,44,21,9,6,3,12,561,27,0,46.75
35,0,40,8,3,11,1,3,937,26,0,312.33
39,0,32,24,5,20,2,3,136,6,1,45.33
25,1,47,12,1,4,3,12,903,20,0,75.25
40,0,9,5,3,12,3,12,477,12,0,39.75
36,0,29,30,2,7,2,1,686,13,0,686
41,1,35,6,2,18,2,3,404,18,0,134.67
21,1,47,5,6,8,1,1,190,3,0,190
45,0,30,17,8,1,2,3,348,7,0,116
64,0,23,22,5,18,2,12,716,11,0,59.67
62,0,45,13,0,1,1,3,235,4,0,78.33
43,0,11,10,5,5,2,1,688,20,0,688
64,1,42,16,10,14,1,1,815,15,0,815
56,0,21,25,7,13,3,3,559,7,0,186.33
40,1,53,16,8,8,2,3,976,18,0,325.33
61,0,37,7,8,13,1,1,516,25,0,516
43,1,5,7,8,16,1,3,791,6,0,263.67
39,1,37,28,2,2,2,3,135,28,0,45
29,0,59,11,0,20,1,3,891,22,0,297
55,0,32,8,0,18,3,3,785,5,0,261.67
41,0,16,22,0,15,3,3,168,17,0,56
34,0,59,3,2,5,2,3,890,25,0,296.67
58,0,7,13,10,9,1,12,148,12,0,12.33
26,0,29,5,8,16,1,12,463,22,1,38.58
49,1,56,11,7,3,1,12,605,8,0,50.42
21,0,45,18,0,9,2,1,251,29,0,251
60,1,13,23,8,4,3,1,215,23,0,215
62,0,25,2,5,7,3,3,216,29,1,72
36,0,7,7,5,28,3,1,579,13,1,579
62,1,29,21,0,16,2,3,216,13,0,72
41,1,50,11,6,6,2,3,623,27,0,207.67
59,0,2,12,3,30,3,3,233,7,1,77.67
55,0,6,27,6,2,2,12,627,28,0,52.25
18,0,8,23,2,26,2,3,273,23,1,91
41,1,1,17,1,29,2,3,937,24,0,312.33
47,1,54,6,9,23,3,1,435,9,1,435
52,0,17,9,3,27,1,12,725,5,0,60.42
31,1,45,8,7,2,1,1,187,2,0,187
50,0,8,2,10,0,2,3,429,12,0,143
60,1,37,17,4,3,1,3,352,19,0,117.33
62,0,45,8,0,15,1,3,599,3,0,199.67
63,0,5,30,1,6,2,3,492,2,0,164
27,1,14,16,3,23,1,3,297,16,0,99
20,0,20,10,2,13,3,1,843,5,0,843
55,1,43,29,2,21,2,1,750,2,0,750
27,1,33,11,10,3,3,3,686,29,0,228.67
55,0,55,13,3,4,2,3,891,24,0,297
24,1,5,5,4,12,1,1,608,9,0,608
20,0,12,19,9,16,3,12,914,25,0,76.17
49,1,26,8,2,13,2,3,352,10,0,117.33
43,1,30,1,0,28,3,12,617,11,0,51.42
58,0,17,30,6,27,1,1,595,18,1,595
48,1,20,19,4,12,2,12,977,19,0,81.42
41,1,30,7,1,6,1,3,300,22,0,100
37,0,3,5,1,22,1,1,321,18,1,321
40,0,25,23,8,27,1,12,474,12,1,39.5
26,1,28,30,6,22,3,3,663,23,1,221
20,0,38,19,10,16,3,12,260,24,1,21.67
26,0,46,11,10,12,2,1,184,25,0,184
46,1,37,21,9,19,2,3,892,18,1,297.33
38,1,29,16,2,29,1,3,454,25,0,151.33
33,0,28,13,4,14,1,3,255,1,0,85
44,1,23,21,8,3,1,1,808,3,0,808
40,1,52,18,4,16,3,12,102,19,0,8.5
46,0,21,21,4,5,2,12,999,17,0,83.25
28,0,41,1,0,23,3,12,486,15,1,40.5
56,0,32,29,3,22,2,12,944,18,0,78.67
45,1,10,5,0,8,1,12,853,9,0,71.08
36,0,6,5,10,27,1,3,131,4,1,43.67
36,0,52,24,0,10,2,12,707,9,0,58.92
58,1,45,21,3,27,2,3,757,2,0,252.33
38,0,6,19,6,24,2,1,159,10,1,159
63,1,22,17,8,12,3,1,484,22,0,484
30,1,10,22,6,0,2,12,869,3,0,72.42
61,0,24,11,2,2,3,1,609,9,0,609
31,0,11,16,1,23,1,1,628,19,1,628
46,1,12,16,1,28,3,12,437,28,0,36.42
29,1,44,27,0,21,1,1,258,10,0,258
53,0,43,14,8,21,2,1,886,21,1,886
38,1,19,8,0,3,3,1,953,9,0,953
65,1,51,3,9,13,1,3,669,16,1,223
39,1,29,10,6,20,3,3,732,9,1,244
33,1,38,23,8,11,2,12,615,21,0,51.25
60,1,19,1,5,10,3,12,409,14,1,34.08
47,1,56,25,0,22,3,3,632,22,0,210.67
50,1,46,28,8,7,1,12,131,24,0,10.92
54,1,24,1,6,30,3,1,430,27,1,430
34,0,25,1,10,26,1,12,879,20,1,73.25
24,0,10,6,3,0,3,3,517,27,0,172.33
25,1,50,5,8,4,2,1,351,25,0,351
23,1,9,10,7,20,3,3,744,19,0,248
18,1,23,23,4,19,1,3,675,17,0,225
28,1,11,21,0,21,2,12,404,13,0,33.67
21,1,30,15,8,17,2,12,880,21,1,73.33
59,0,29,23,3,14,3,3,171,11,0,57
30,1,22,29,6,13,3,12,919,14,0,76.58
63,0,44,4,10,8,1,1,139,4,1,139
23,0,40,29,5,14,1,12,138,29,0,11.5
28,1,18,19,6,26,3,3,979,7,0,326.33
36,1,60,25,5,8,1,3,143,19,0,47.67
47,1,13,3,1,8,2,3,649,19,0,216.33
35,0,43,7,0,28,2,1,852,19,1,852
46,0,37,29,0,7,3,1,305,26,0,305
60,1,37,25,1,14,1,1,424,12,0,424
42,0,20,26,7,9,3,1,940,12,0,940
57,0,2,26,10,27,1,1,973,6,1,973
48,0,44,25,0,22,2,1,223,1,1,223
24,0,58,16,8,7,3,12,162,14,0,13.5
60,0,9,9,10,5,2,12,643,27,0,53.58
18,0,25,11,10,21,2,1,190,20,1,190
20,1,4,27,3,30,1,12,448,24,0,37.33
33,0,26,10,0,1,1,3,865,7,0,288.33
51,0,21,6,2,9,2,3,524,21,0,174.67
45,0,16,24,0,20,1,1,761,26,0,761
54,1,43,10,7,15,3,1,905,2,0,905
43,1,57,24,7,22,1,12,955,3,1,79.58
19,0,9,16,0,1,1,1,836,16,0,836
44,0,21,17,9,3,2,12,451,5,0,37.58
54,0,37,28,4,1,3,12,567,29,0,47.25
27,1,11,24,2,15,1,12,399,4,0,33.25
48,1,9,26,8,17,2,3,517,19,0,172.33
60,1,27,24,1,19,3,3,876,10,0,292
44,0,30,16,0,9,1,12,910,10,0,75.83
44,0,4,11,9,23,2,1,574,25,1,574
32,1,12,30,1,14,1,3,942,18,0,314
49,0,45,8,1,11,2,1,647,25,0,647
43,0,58,12,4,30,3,3,936,1,0,312
64,0,46,13,5,26,1,1,945,4,1,945
64,0,40,21,3,24,1,1,294,10,1,294
63,0,55,30,9,29,3,3,710,18,1,236.67
59,1,26,29,4,2,1,12,250,26,0,20.83
38,1,1,7,3,26,1,3,492,28,0,164
65,1,27,15,1,27,2,1,806,4,0,806
30,0,20,29,3,10,3,12,431,7,0,35.92
62,0,60,27,8,29,1,3,255,28,1,85
62,1,40,8,1,20,2,3,697,13,0,232.33
37,0,18,17,10,3,2,3,611,4,0,203.67
37,1,57,22,5,0,1,1,423,19,0,423
45,0,35,23,6,16,2,3,638,11,1,212.67
35,0,16,30,9,28,1,1,207,23,1,207
48,1,21,30,10,12,1,1,861,30,0,861
27,1,51,7,5,21,1,3,652,16,1,217.33
55,1,36,21,5,18,3,12,773,13,1,64.42
53,1,39,20,5,11,3,12,672,25,0,56
46,1,26,24,2,21,2,3,288,29,0,96
40,0,18,12,2,13,1,3,140,5,0,46.67
59,0,33,4,2,2,1,12,373,4,0,31.08
19,1,12,15,4,21,2,3,827,6,0,275.67
45,1,45,15,2,2,2,1,938,15,0,938
57,0,57,9,5,15,1,1,680,24,0,680
45,0,16,13,8,19,1,3,207,20,0,69
54,0,48,11,1,26,2,12,915,29,0,76.25
53,0,49,1,0,14,2,3,281,6,0,93.67
54,1,13,27,2,10,2,3,767,18,0,255.67
53,0,41,24,6,26,1,3,195,3,1,65
52,1,2,15,10,4,2,1,323,28,0,323
26,0,55,24,6,18,1,1,832,2,1,832
52,0,24,6,9,25,1,12,939,2,1,78.25
54,1,35,11,5,17,2,3,932,16,1,310.67
48,0,57,30,1,12,2,1,278,4,0,278
63,0,22,21,10,11,3,12,736,24,0,61.33
